epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,819.135,1.33422,0.84962,1.30473,0.84789,0.84688,0.88457,0.48991,1.54265,0.82237,1.5078,0.000990365,0.000990365,0.000990365
43,838.521,1.35061,0.86686,1.317,0.83471,0.86277,0.88425,0.49828,1.43877,0.80783,1.44896,0.000973861,0.000973861,0.000973861
44,857.742,1.34991,0.85022,1.30146,0.85314,0.83981,0.89783,0.48951,1.56495,0.77307,1.54863,0.000957358,0.000957358,0.000957358
45,876.592,1.30548,0.84575,1.29311,0.87663,0.84656,0.88891,0.54495,1.36256,0.75898,1.38179,0.000940855,0.000940855,0.000940855
46,895.492,1.31985,0.82603,1.30374,0.88283,0.84839,0.90492,0.51908,1.4123,0.78839,1.4354,0.000924352,0.000924352,0.000924352
47,914.428,1.33804,0.83782,1.30044,0.8552,0.86528,0.89092,0.48394,1.5447,0.80061,1.47195,0.000907848,0.000907848,0.000907848
48,933.401,1.31714,0.80776,1.2936,0.88528,0.84052,0.89009,0.50432,1.51086,0.76972,1.49788,0.000891345,0.000891345,0.000891345
49,953.14,1.3,0.81244,1.27336,0.88548,0.83274,0.88889,0.52987,1.40708,0.73278,1.39932,0.000874842,0.000874842,0.000874842
50,973.295,1.28047,0.80173,1.26021,0.87315,0.85922,0.90035,0.50057,1.53781,0.78071,1.49994,0.000858338,0.000858338,0.000858338
51,993.481,1.29054,0.80353,1.26442,0.85818,0.8533,0.88283,0.50529,1.45387,0.79269,1.45049,0.000841835,0.000841835,0.000841835
52,1012.81,1.28066,0.76796,1.25158,0.87431,0.85437,0.89703,0.5153,1.50326,0.80014,1.46276,0.000825332,0.000825332,0.000825332
53,1032.14,1.29517,0.77657,1.26372,0.89261,0.83192,0.8924,0.50235,1.52879,0.79606,1.48572,0.000808828,0.000808828,0.000808828
54,1051.56,1.27209,0.75726,1.26685,0.87804,0.83694,0.89132,0.50777,1.47556,0.75914,1.4611,0.000792325,0.000792325,0.000792325
55,1070.17,1.27714,0.77191,1.26786,0.87001,0.84825,0.88319,0.50582,1.4277,0.77024,1.42999,0.000775822,0.000775822,0.000775822
56,1089.19,1.27618,0.74575,1.24268,0.87975,0.85065,0.89108,0.51171,1.41537,0.77591,1.4353,0.000759318,0.000759318,0.000759318
57,1108.33,1.25572,0.73871,1.24557,0.86192,0.88682,0.8995,0.48854,1.49113,0.75771,1.46911,0.000742815,0.000742815,0.000742815
58,1127.13,1.25221,0.73586,1.23646,0.89039,0.86277,0.89747,0.52982,1.4154,0.74304,1.40092,0.000726312,0.000726312,0.000726312
59,1146.09,1.2498,0.74563,1.23433,0.86234,0.87026,0.89776,0.51242,1.40777,0.75764,1.41249,0.000709809,0.000709809,0.000709809
60,1165.03,1.23088,0.72627,1.24152,0.83991,0.87729,0.90132,0.51302,1.46358,0.75483,1.46042,0.000693305,0.000693305,0.000693305
61,1183.65,1.23618,0.71468,1.23565,0.85937,0.85628,0.88864,0.49656,1.4514,0.74945,1.42841,0.000676802,0.000676802,0.000676802
62,1202.35,1.239,0.71594,1.22663,0.8784,0.87306,0.90177,0.49222,1.49232,0.75085,1.44427,0.000660299,0.000660299,0.000660299
63,1221.24,1.21416,0.71675,1.21493,0.87289,0.8797,0.90686,0.53991,1.3569,0.74319,1.38513,0.000643795,0.000643795,0.000643795
